sku,sku_name,product_family,price_tier,sku_price,sale_year,quarter_label,total_transactions,total_revenue,gross_revenue,returns,return_rate_pct,total_refund_cost,online_units,instore_units,event_day_units,non_event_units,revenue_rank_in_year
SKU0017,Halo Noise-Cancelling Headphones Pro,Headphones,Premium,24999.00,2023,Q3 2023,15859,378893933.00,376659933.00,792,4.99,19799208.00,4700,11159,2189,13670,1
SKU0017,Halo Noise-Cancelling Headphones Pro,Headphones,Premium,24999.00,2023,Q4 2023,15735,375855055.00,373610055.00,790,5.02,19749210.00,4710,11025,8893,6842,2
SKU0017,Halo Noise-Cancelling Headphones Pro,Headphones,Premium,24999.00,2023,Q2 2023,15633,374294117.00,372060117.00,750,4.8,18749250.00,4674,10959,9122,6511,3
SKU0017,Halo Noise-Cancelling Headphones Pro,Headphones,Premium,24999.00,2023,Q1 2023,15458,370001789.00,367760289.00,747,4.83,18674253.00,4683,10775,4095,11363,4
SKU0016,Halo Noise-Cancelling Headphones,Headphones,Premium,18999.00,2023,Q4 2023,16277,296262528.00,293952528.00,805,4.95,15294195.00,4845,11432,9163,7114,5
SKU0016,Halo Noise-Cancelling Headphones,Headphones,Premium,18999.00,2023,Q3 2023,15752,287457991.00,285155991.00,743,4.72,14116257.00,4855,10897,2235,13517,6
SKU0016,Halo Noise-Cancelling Headphones,Headphones,Premium,18999.00,2023,Q2 2023,15737,285700084.00,283389084.00,821,5.22,15598179.00,4867,10870,9196,6541,7
SKU0016,Halo Noise-Cancelling Headphones,Headphones,Premium,18999.00,2023,Q1 2023,15401,280318363.00,278088363.00,764,4.96,14515236.00,4691,10710,4079,11322,8
SKU0013,Zenith Smartwatch Pro,Smartwatch,Premium,16999.00,2023,Q3 2023,15906,258511923.00,256293923.00,829,5.21,14092171.00,4684,11222,2283,13623,9
SKU0013,Zenith Smartwatch Pro,Smartwatch,Premium,16999.00,2023,Q4 2023,15844,257798967.00,255545967.00,811,5.12,13786189.00,4748,11096,8872,6972,10
SKU0013,Zenith Smartwatch Pro,Smartwatch,Premium,16999.00,2023,Q2 2023,15674,254726147.00,252486147.00,821,5.24,13956179.00,4715,10959,9123,6551,11
SKU0013,Zenith Smartwatch Pro,Smartwatch,Premium,16999.00,2023,Q1 2023,15537,253064742.00,250871242.00,779,5.01,13242221.00,4617,10920,4086,11451,12
SKU0012,Zenith Smartwatch,Smartwatch,Premium,12999.00,2023,Q3 2023,15853,197757458.00,195530958.00,811,5.12,10542189.00,4702,11151,2290,13563,13
